book_name,authors,rating,publish_year,publish_month,publish_day,publisher,num_reviews,num_pages
"Abhorsen (Abhorsen, #3)",Garth Nix,4.23,2004,20,1,Eos,103,518
"The Big Over Easy (Nursery Crime, #1)",Jasper Fforde,3.94,2005,21,7,Penguin Audio,48,12
The Buddha of Suburbia,Hanif Kureishi,3.73,1990,7,5,Viking Books,6,284
"Redemption Ark (Revelation Space, #2)",Alastair Reynolds,4.15,2003,8,5,Gollancz,17,656
White Teeth,Zadie Smith,3.77,2000,25,4,Random House (NY),121,448
Teach Us to Outgrow Our Madness: 4 Short Novels,Kenzaburō Ōe,3.86,1994,13,10,Grove Press,93,261
The Tenant of Wildfell Hall,Anne Brontë,3.95,1998,9,7,Oxford University Press,63,485
The Autograph Man,Zadie Smith,3.16,2002,26,9,Hamish Hamilton Ltd,14,432
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,4.15,2015,15,9,Turtleback Books,2,240
The Fifth Child,Doris Lessing,3.56,1988,12,3,Knopf,27,151
Wide Sargasso Sea,Jean Rhys,3.59,1999,17,3,W. W. Norton & Company,188,266
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,3.86,2006,12,9,Random House Audio,23,9
The House of Mirth,Edith Wharton,3.95,1999,10,8,Modern Library,42,324
Our Lady of the Flowers,Jean Genet,4.03,1994,12,1,Grove Press,31,307
Exit Wounds,Rutu Modan,3.5700000000000003,2007,12,6,Drawn & Quarterly,351,172
The Terminal Man,Michael Crichton,3.36,1972,12,4,Knopf,27,247
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.14,2005,8,11,Spectra Books,59,753
The Age of Innocence,Edith Wharton,3.95,2000,3,4,Wadsworth Publishing,2,462
The Masterpiece,Anna Enquist,3.48,2003,12,11,Toby Press,3,216
We Need to Talk About Kevin,Lionel Shriver,4.08,2004,4,5,,130,400
Garlic and Sapphires: The Secret Life of a Critic in Disguise,Ruth Reichl,3.93,2005,7,4,Penguin Press,76,333
Tender at the Bone: Growing Up at the Table,Ruth Reichl,4.07,1998,31,12,Thorndike Press,1,371
The Mysterious Stranger,Mark Twain,4.13,2004,1,9,1st World Library,2,157
Hot Water Music,Charles Bukowski,3.91,2002,5,6,Ecco,1,221
Horton Hatches the Egg,Dr. Seuss,4.17,1940,12,10,Random House Books for Young Readers,87,64
David Boring,Daniel Clowes,3.81,2002,7,11,Jonathan Cape,9,117
The City of Ember,Jeanne DuPrau,3.86,2003,13,5,Random House Books for Young Readers,92,270
The War of the Worlds,H.G. Wells,3.82,2005,31,3,Penguin Classics,236,199
The Buccaneers,Edith Wharton,3.89,1994,4,8,Penguin,5,359
And Quiet Flows the Don,Mikhail Sholokhov,4.14,1989,17,12,Vintage,42,554
The Clouds Above,Andrew Greig,3.62,2002,29,10,Plume,6,256
Selected Short Stories,H.G. Wells,3.85,1990,1,9,Penguin Classics,2,352
A Tale of Love and Darkness,Amos Oz,4.22,2005,4,8,Vintage,39,517
Down Under,Bill Bryson,4.07,2000,18,7,Doubleday,68,336
Abandon,Pico Iyer,3.18,2003,21,1,Knopf,9,368
Leonardo's Swans,Karen Essex,3.72,2006,10,1,DoubleDay,24,352
A Doll's House,Henrik Ibsen,3.73,2006,24,9,"Filiquarian Publishing, LLC.",22,124
The Deep End of the Ocean,Jacquelyn Mitchard,3.87,1996,1,10,Niagara,1,595
Goodnight Nobody,Jennifer Weiner,3.65,2005,20,9,Atria Books,52,376
The Lord God Made Them All,James Herriot,4.42,1982,1,4,Bantam Books,21,384
Swapping Lives,Jane Green,3.58,2006,13,6,Penguin Audio,8,12
The Magic Mountain,Thomas Mann,4.14,1992,31,3,Vintage/Alfred A. Knopf,3,737
Distraction,Bruce Sterling,3.72,1998,1,12,Spectra,10,448
"Big Cherry Holler (Big Stone Gap, #2)",Adriana Trigiani,3.92,2004,31,8,Ballantine Books,55,352
Narraciones Extraordinarias,Edgar Allan Poe,4.13,2002,30,6,El Universo,2,154
Brick Lane,Monica Ali,3.42,2003,19,8,Scribner,20,384
The Language Instinct: How the Mind Creates Language,Steven Pinker,4.03,1994,1,1,Harper Perennial,20,494
The Perilous Gard,Elizabeth Marie Pope,4.09,2001,29,10,Turtleback Books,1,280
"Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins,4.01,2004,1,8,Scholastic Paperbacks,208,311
"Gregor and the Code of Claw (Underland Chronicles, #5)",Suzanne Collins,4.27,2007,1,5,Scholastic Press,1618,412
Everyone Poops,Taro Gomi,4.17,1993,1,1,Kane/Miller Book Publishers,54,27
"Bootlegger's Daughter (Deborah Knott Mysteries, #1)",Margaret Maron,3.99,2000,1,2,Thorndike Press,351,275
The Beauty of the Husband: A Fictional Essay in 29 Tangos,Anne Carson,4.26,2001,14,6,Jonathan Cape,3,160
"Frog and Toad Are Friends (Frog and Toad, #1)",Arnold Lobel,4.2,2003,18,2,HarperCollins,1320,64
The Amateur Marriage,Anne Tyler,3.62,2004,6,1,Diversified Publishing,3,512
Princess: A True Story of Life Behind the Veil in Saudi Arabia,Jean Sasson,4.03,1993,1,9,Avon Books,26,283
The Endurance: Shackleton's Legendary Antarctic Expedition,Caroline Alexander,4.32,1998,3,11,Knopf,462,224
The Tale of Despereaux,Kate DiCamillo,4.04,2003,26,8,Listening Library (Audio),5,0
Envy,Sandra Brown,4.17,2001,28,8,Warner Books (NY),79,496
The Secret History,Donna Tartt,4.1,2002,15,10,HarperAudio,73,22
Letter to a Christian Nation,Sam Harris,4.01,2008,8,1,Vintage,83,114
Symptomatic,Danzy Senna,3.32,2004,11,5,Riverhead Hardcover,8,224
Life and Fate,Vasily Grossman,4.44,2006,16,5,NYRB Classics,73,871
Last Evenings on Earth,Roberto Bolaño,4.11,2007,30,4,New Directions,321,219
The Homecoming,Harold Pinter,3.74,1991,21,1,Faber and Faber,20,138
Women & Money: Owning the Power to Control Your Destiny,Suze Orman,3.87,2007,27,2,Random House Audio,5,0
You Are What You Eat: The Plan That Will Change Your Life,Gillian McKeith,3.79,2006,1,4,Plume Books,136,223
"Obsidian Butterfly (Anita Blake, Vampire Hunter, #9)",Laurell K. Hamilton,4.09,2000,1,10,Ace,19,585
The Gatecrasher,Madeleine Wickham,3.27,1998,1,4,Black Swan,3,304
"Little Town on the Prairie (Little House, #7)",Laura Ingalls Wilder,4.19,1961,19,7,HarperCollins,24,307
"Grave Surprise (Harper Connelly, #2)",Charlaine Harris,3.89,2007,25,9,Berkley,90,295
"The Long Winter (Little House, #6)",Laura Ingalls Wilder,4.15,1994,7,1,HarperCollins,179,334
Last Chance to See,Douglas Adams,4.32,1991,13,2,Harmony Books,43,220
The Art Book,Phaidon Press,3.82,2006,28,9,Phaidon Press,2,515
Absolutely American: Four Years at West Point,David Lipsky,3.97,2003,4,7,Houghton Mifflin Harcourt,6,336
Touch,Elmore Leonard,3.52,2000,1,1,Harper Perennial,5,245
The Temple of My Familiar,Alice Walker,4.05,2005,2,12,Washington Square Press,8,417
Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,Daniel Pinchbeck,4.06,2002,17,9,Broadway Books,6,322
Junky,William S. Burroughs,3.83,1977,31,3,Penguin Books,56,158
"Appointment with Death (Hercule Poirot, #19)",Agatha Christie,3.86,2005,2,12,Berkley Publishing Group,30,212
Requiem for a Dream,Hubert Selby Jr.,4.11,1993,21,1,Da Capo Press,3,280
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,4.2,2007,6,3,HMH Books for Young Readers,5,40
Superfudge,Judy Blume,4.0,2002,30,9,Dutton Books for Young Readers,7,178
Freckle Juice,Judy Blume,3.83,1978,15,7,Turtleback Books,21,47
Feed,M.T. Anderson,3.54,2002,23,9,Candlewick Press,79,237
Summer of Fear,Lois Duncan,3.82,1977,15,10,Turtleback Books,6,208
Every Secret Thing,Laura Lippman,3.47,2004,2,2,Wheeler Publishing,1,544
No Country for Old Men,Cormac McCarthy,4.14,2005,22,7,Recorded Books,81,8
The Sandman: The Dream Hunters,Neil Gaiman,4.4,1999,1,11,,44,126
"Love Is a Many Trousered Thing (Confessions of Georgia Nicolson, #8)",Louise Rennison,4.14,2007,3,7,HarperTeen,2,288
The Dew Breaker,Edwidge Danticat,3.8,2004,9,3,Knopf Publishing Group,26,244
The Canterbury Tales,Geoffrey Chaucer,3.5,2006,1,5,Bantam Classics,49,448
Fences (The Century Cycle #6),August Wilson,3.88,1986,1,6,Plume Books,981,101
City of God,Cecelia Holland,3.54,1981,1,2,Warner Books (NY),9,320
El gran Gatsby,F. Scott Fitzgerald,3.92,2005,2,8,Debolsillo,282,192
Holy Bible: King James Version,Anonymous,4.42,2006,1,2,Hendrickson Publishers,31,1671
Letters to a Young Poet,Rainer Maria Rilke,4.32,1984,12,10,Vintage,141,112
The Family Book,Todd Parr,4.35,2003,1,10,"Little, Brown Books for Young Readers",22,32
"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,4.05,2007,26,6,Random House Audio,35,0
"Executive Orders (Jack Ryan, #8)",Tom Clancy,4.07,1996,27,8,Random House Audio Publishing Group,8,6
Red Storm Rising,Tom Clancy,4.17,1987,1,8,Berkley,131,725
The Debutante Divorcee,Plum Sykes,3.49,2006,18,4,Miramax Books,20,7
Bookends,Liz Curtis Higgs,3.85,2000,20,1,Multnomah,6,348
Literary Theory: An Introduction,Terry Eagleton,3.94,1996,15,11,Univ Of Minnesota Press,12,248
On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,4.26,1998,1,4,HarperPerennial,16,308
Find Me,Rosie O'Donnell,3.34,2002,16,4,Grand Central Publishing,23,224
"The Other Wind (Earthsea Cycle, #6)",Ursula K. Le Guin,4.12,2001,13,9,"Harcourt, Inc.",23,246
The New Life,Dante Alighieri,3.88,2002,31,7,NYRB Classics,3,108
Songmaster,Orson Scott Card,3.74,1992,15,12,Tor,8,377
Citizen of the Galaxy,Robert A. Heinlein,3.99,1978,12,6,Del Rey Books,9,249
The Green Hills of Earth,Robert A. Heinlein,3.86,1990,28,6,Lightyear Press,4,174
Friday,Robert A. Heinlein,3.84,1983,12,7,Turtleback Books,4,368
Time for the Stars,Robert A. Heinlein,3.97,1984,12,11,Del Rey,2,188
If You Give a Mouse a Cookie,Laura Joffe Numeroff,4.26,2000,25,7,HarperCollins,26,32
"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,3.71,2005,28,9,Little Brown and Company,44,6
Can't Wait to Get to Heaven,Fannie Flagg,3.92,2006,27,6,Random House Audio,6,0
A Redbird Christmas,Fannie Flagg,3.9,2005,25,10,RH Audio,1,0
My Dark Places,James Ellroy,3.88,1997,19,8,Vintage,53,431
Ragtime,E.L. Doctorow,3.88,1997,1,5,Plume,136,270
Every Second Counts,Lance Armstrong,3.52,2003,1,1,Broadway Books,8,246
The Old Gringo,Carlos Fuentes,3.51,1997,31,10,"Farrar, Straus and Giroux",7,208
Indian Killer,Sherman Alexie,3.78,1998,1,1,Warner Books (NY),31,420
Earthly Possessions,Anne Tyler,3.73,1993,24,4,Ivy Books,4,224
Saint Maybe,Anne Tyler,3.88,1995,22,1,Random House Value Publishing,1,338
Ballet Shoes,Noel Streatfeild,4.07,1991,13,8,Random House Books for Young Readers,1,288
March,Geraldine Brooks,3.75,2005,3,3,Viking Books,167,280
The Maytrees,Annie Dillard,3.5700000000000003,2007,3,7,HarperLuxe,4,256
Moonlight Becomes You,Mary Higgins Clark,3.82,2008,1,10,Simon & Schuster Audio,2,189
Surprised by Joy: The Shape of My Early Life,C.S. Lewis,4.09,2000,1,7,Blackstone Publishing,8,7
"Eon (The Way, #1)",Greg Bear,3.87,1987,15,5,Tor Books,3,512
"An Army at Dawn: The War in North Africa, 1942-1943 (World War II Liberation Trilogy, #1)",Rick Atkinson,4.27,2002,2,10,Henry Holt & Company,803,704
Lord Jim,Joseph Conrad,3.62,2007,2,8,Penguin Classics,31,400
"Soul of the Fire (Sword of Truth, #5)",Terry Goodkind,3.87,2007,28,5,Brilliance Audio,2,20
The War of the Flowers,Tad Williams,3.88,2003,6,5,Daw Books,16,704
"Golden Fool (Tawny Man, #2)",Robin Hobb,4.33,2003,1,1,Spectra,18,520
Esperanza Rising,Pam Muñoz Ryan,3.98,2007,9,1,Listening Library (Audio),32,5
Whale Talk,Chris Crutcher,3.96,2001,10,4,Greenwillow Books,22,224
How I Live Now,Meg Rosoff,3.58,2004,24,8,Wendy Lamb Books,13,208
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,2005,28,6,Scribner Book Company,32,243
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,3.98,2000,1,3,Turtleback Books,3,160
Who's Irish?: Stories,Gish Jen,3.63,1999,18,5,Knopf,5,224
Life Before Man,Margaret Atwood,3.41,1979,1,12,Simon & Schuster,9,317
Take the Cannoli: Stories from the New World,Sarah Vowell,3.85,2000,6,4,Simon & Schuster,88,219
The Thorn Birds,Colleen McCullough,4.23,1978,3,10,Book Club Associates,50,560
A Stolen Life,Jane Louise Curry,3.53,1999,1,10,Margaret K. McElderry Books,15,208
Illusions: The Adventures of a Reluctant Messiah,Richard Bach,4.15,1989,10,10,Dell,66,192
How to Be Single,Liz Tuccillo,3.21,2008,10,6,Atria Books,773,404
Little Altars Everywhere,Rebecca Wells,3.5700000000000003,1998,23,10,Harper,7,240
Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror,Judith Lewis Herman,4.33,1997,30,5,Basic Books,359,247
The Running Man,Richard Bachman,3.87,1999,1,8,Turtleback Books,3,336
The Tenth Justice,Brad Meltzer,3.98,1997,28,3,Rob Weisbach Books,24,389
The Book of Fate,Brad Meltzer,3.58,2006,5,9,Warner Books (NY),42,508
Identity Crisis,Brad Meltzer,4.04,2005,1,10,DC Comics,37,288
Hearts in Atlantis,Stephen King,3.83,1999,14,9,Scribner,192,523
Cat and Mouse,Günter Grass,3.54,1991,31,10,Mariner Books,12,192
"The High King (The Chronicles of Prydain, #5)",Lloyd Alexander,4.25,1999,15,5,Henry Holt and Company,50,253
A Gathering of Old Men,Ernest J. Gaines,4.04,1992,30,6,Vintage,380,214
Flesh and Blood,Michael Cunningham,4.03,1995,1,4,Farrar Straus Giroux,17,465
To the Lighthouse,Virginia Woolf,3.78,1992,3,11,Everyman's Library,42,238
One of Ours,Willa Cather,3.9,2008,1,7,Boomer Books,411,343
"The Castle of Llyr (The Chronicles of Prydain, #3)",Lloyd Alexander,4.08,1999,15,5,Henry Holt and Company,35,174
Freddy and Fredericka,Mark Helprin,3.76,2005,7,7,"Penguin Press HC, The",41,553
"Archangel (Samaria, #1)",Sharon Shinn,4.05,1996,1,5,Ace Trade,12,390
"Angelica (Samaria, #4)",Sharon Shinn,3.95,2003,4,3,Ace Hardcover,3,496
Truman,David McCullough,4.13,1992,1,12,Simon & Schuster Audio,1,0
"The Valley of Horses (Earth's Children, #2)",Jean M. Auel,4.0,2001,27,11,Bantam,31,512
Pyongyang: A Journey in North Korea,Guy Delisle,3.92,2006,5,10,Jonathan Cape,24,192
Journal of a Solitude,May Sarton,4.15,1973,31,12,W. W. Norton & Company,5,208
Thirteen Moons,Charles Frazier,3.69,2006,3,10,Random House Large Print,3,608
Dawn,Uri Shulevitz,3.82,1988,1,2,Square Fish,9,32
Home Land,Sam Lipsyte,3.62,2005,1,1,Picador USA,363,229
"Rising Up and Rising Down: Some Thoughts on Violence, Freedom and Urgent Means",William T. Vollmann,4.17,2004,2,11,Ecco,3,752
The Castle,Franz Kafka,3.96,2000,7,12,Penguin,45,280
"Beastly (Beastly, #1; Kendra Chronicles, #1)",Alex Flinn,3.83,2007,2,10,HarperTeen,7724,304
My Sister's Keeper,Donigan Merritt,4.0,1983,1,1,Coward McCann,1,273
Love is ... Journal,Kim Casali,3.16,2004,1,9,Harry N. Abrams,1,144
The Divine Comedy,Dante Alighieri,4.07,1995,25,5,Everyman,4,798
The 100-Mile Diet: A Year of Local Eating,Alisa Smith,3.86,2007,12,3,Random House Canada,84,272
Beard on Bread,James Beard,4.19,1995,7,2,Knopf,61,256
Earth,David Brin,3.92,1990,1,5,Bantam,17,601
Death Comes for the Archbishop,Willa Cather,3.91,1990,16,6,Vintage,2165,297
"Wild Magic (Immortals, #1)",Tamora Pierce,4.32,1997,13,5,Random House Books,169,299
Cat on a Hot Tin Roof,Tennessee Williams,4.08,1997,1,3,Reclam,3,222
Black Orchid,Karen Harper,3.78,2006,25,4,Mira Books,11,395
The Woman Warrior,Maxine Hong Kingston,3.73,1976,12,8,Knopf,12,209
I Am Legend and Other Stories,Richard Matheson,4.0,1997,15,9,Orb Books,4090,317
Wreckage,Ha Jin,3.79,2001,1,1,Hanging Loose Press,2,112
The Slave Dancer,Paula Fox,3.69,2001,1,2,Atheneum/Richard Jackson Books,7,192
Second Chance,Jerry B. Jenkins,3.99,1998,1,7,Tyndale House Publishers,16,144
Confessions,Augustine of Hippo,3.93,2003,1,7,Bridge-Logos,7,461
Mao's Last Dancer,Li Cunxin,4.16,2003,25,11,Penguin Australia,42,450
"Anne of Avonlea (Anne of Green Gables, #2)",L.M. Montgomery,4.23,1978,1,1,Bantam Books,88,277
"Tik-Tok of Oz (Oz, #8)",L. Frank Baum,3.82,1996,26,4,Books of Wonder,242,272
Black Swan Green,David Mitchell,3.99,2007,2,4,Sceptre,154,371
The Girl Who Loved Tom Gordon,John Escott,3.58,2005,17,5,Macmillan Education,4,96
"Lucinda's Secret (The Spiderwick Chronicles, #3)",Tony DiTerlizzi,3.89,2008,1,1,Simon  Schuster Books for Young Readers,8,128
"The Field Guide (The Spiderwick Chronicles, #1)",Tony DiTerlizzi,3.9,2008,1,1,Simon & Schuster Children's Publishing,21,107
Bush at War,Bob Woodward,3.5,2003,1,7,Simon & Schuster,13,416
The Stranger,Portia Da Costa,3.24,1997,6,11,Black Lace,14,272
Ecotopia,Ernest Callenbach,3.59,1990,1,3,Bantam,390,181
"Aztec (Aztec, #1)",Gary Jennings,4.22,2006,16,5,Forge Books,714,754
Northern Lights,Nora Roberts,4.0,2004,1,1,,5,838
The Night Watch,Sarah Waters,3.7,2006,27,9,Riverhead Books,1087,528
Primary Colors: A Novel of Politics,Anonymous,3.61,1996,1,11,Warner Books,9,528
Cosmétique de l'ennemi,Amélie Nothomb,3.81,2001,22,8,Albin Michel,9,140
Cycle of the Werewolf,Stephen King,3.65,1985,9,4,Signet Books,1199,128
"Darkly Dreaming Dexter (Dexter, #1)",Jeff Lindsay,3.9,2004,20,7,Doubleday,282,288
"Sahara (Dirk Pitt, #11)",Clive Cussler,3.96,1992,1,6,Simon & Schuster,31,541
The Complete Stories,Edgar Allan Poe,4.38,1993,11,1,Alfred A. Knopf,15,955
The Ambassadors,Henry James,3.65,1998,22,10,Oxford University Press,6,512
The Portrait of a Lady,Henry James,3.78,1998,5,3,Oxford University Press,18,635
Everyday Zen: Love and Work,Charlotte Joko Beck,4.19,1989,22,2,HarperOne,178,214
The Glass Menagerie,Tennessee Williams,3.7,1968,30,9,Heinemann Educational Books,1,76
Anarchism and Other Essays,Emma Goldman,4.04,1969,1,6,Dover Publications,184,271
One-Hit Wonder,Lisa Jewell,3.65,2002,1,6,Dutton Adult,8,358
More Than You Know,Beth Gutcheon,3.61,2000,8,3,William Morrow,5,288
"Good Night, Mr. Holmes (Irene Adler, #1)",Carole Nelson Douglas,3.9,2005,10,1,Forge,137,408
Slam,Cecily von Ziegesar,3.88,2000,13,8,Turtleback Books,1,157
The Confession,Domenic Stansberry,3.63,2004,1,11,Hard Crime Case,46,218
"7th Heaven (Women's Murder Club, #7)",James Patterson,4.09,2008,4,2,"Little, Brown and Company",8,435
The Beach House,James Patterson,3.84,2002,22,7,Headline,5,387
You've Been Warned,James Patterson,3.53,2007,10,9,"Little, Brown and Company",37,374
"The Rise of Endymion (Hyperion Cantos, #4)",Dan Simmons,4.18,1997,4,8,Spectra,15,592
The Richest Man in Babylon,George S. Clason,4.26,2007,8,2,www.bnpublishing.com,1,116
"Inkspell (Inkworld, #2)",Cornelia Funke,3.92,2006,22,7,The Chicken House,88,685
"The Gunslinger (The Dark Tower, #1)",Stephen King,3.95,1989,1,7,New American Library,19,315
The Nightingale,Kara Dalkey,3.71,1991,1,4,Ace,19,215
The Hobbit: Or There and Back Again,J.R.R. Tolkien,4.27,2002,1,8,Turtleback Books,5,365
The Inner Voice: The Making of a Singer,Renée Fleming,4.18,2005,1,11,Penguin Books,10,222
"Robots and Empire (Robot, #4)",Isaac Asimov,4.2,1985,20,8,"Doubleday & Company, Inc.",29,383
The Last Chinese Chef,Nicole Mones,3.81,2007,4,5,Houghton Mifflin Harcourt,1265,278
The Last Enchantments,Robert Liddell,4.0,1992,1,7,Dufour Editions,1,221
"Fruits Basket, Vol. 1",Natsuki Takaya,4.24,2004,28,2,Sagebrush,5,216
"Peter and the Secret of Rundoon (Peter and the Starcatchers, #3)",Dave Barry,4.16,2007,23,10,Hyperion Books,847,482
Last Exit to Brooklyn,Hubert Selby Jr.,3.93,1994,13,1,Grove Press,68,304
The Communist Manifesto,Karl Marx,3.56,1992,1,5,Bantam Classics,21,48
Mrs. Dalloway,Virginia Woolf,3.79,1964,12,12,Houghton Mifflin Harcourt P,25,296
Beowulf: A Verse Translation,Unknown,3.45,1973,30,9,Penguin Classics,19,176
Miss America,Catherine Wagner,4.36,2001,1,11,Fence Books,8,68
The Good Son,Craig Nova,3.72,2006,24,1,Broadway Books,13,480
The Raven,Lou Reed,3.81,2003,25,8,Grove Press,3,240
Around the World in 80 Days,Deanna McFadden,4.08,2007,1,3,Sterling,48,160
The Best of Roald Dahl,Roald Dahl,4.38,2006,16,2,Penguin,3,368
What Happened,Merle Miller,3.6,1980,1,1,St. Martin's Press,1,342
The Blind Assassin,Margaret Atwood,3.96,2000,5,9,Random House Large Print,11,832
"When the Devil Dances (Posleen War, #3)",John Ringo,4.07,2003,1,4,Baen,78,704
Why I'm Like This: True Stories,Cynthia Kaplan,3.55,2002,9,7,William Morrow,3,224
"Naked in Death (In Death, #1)",J.D. Robb,4.12,2007,28,8,Berkley,45,306
The Wish List,Eoin Colfer,3.77,2003,7,8,Puffin,23,168
The Story of a Shipwrecked Sailor,Gabriel García Márquez,3.79,1989,13,3,Vintage,4,106
Art,Robert Cumming,4.25,2005,1,10,DK Publishing (Dorling Kindersley),3,512
The Girl Who Stopped Swimming,Joshilyn Jackson,3.48,2008,4,3,Grand Central,138,311
Gone for Good,Mark Childress,3.43,1999,6,7,Ballantine Books,24,400
Mystic River,Dennis Lehane,4.18,2006,1,9,Bantam,19,527
Aloft,Chang-rae Lee,3.53,2004,8,3,Riverhead Books,21,352
Queenie,Michael Korda,3.83,1986,1,4,Warner Books (NY),38,773
"Ozma of Oz (Oz, #3)",L. Frank Baum,3.97,1989,24,5,Books of Wonder,79,272
Salt,Mark Kurlansky,3.74,2003,6,3,Vintage,17,483
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.35,2007,5,5,Puffin Books,14627,320
The Glass Castle,Jeannette Walls,4.27,2010,1,9,Virago Press (UK),203,341
The Beach,Alex Garland,3.94,2007,5,7,Penguin Books,24,439
Sunshine,Alex Garland,4.09,2007,21,8,"Farrar, Straus and Giroux",18,160
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.42,1984,1,10,Bantam,8323,242
The Book of Questions,Gregory Stock,3.97,1987,3,1,Workman Publishing,126,205
"The Spellman Files (The Spellmans, #1)",Lisa Lutz,3.88,2007,19,3,Thorndike Press,8,535
The Damnation Game,Clive Barker,3.82,1987,7,5,Putnam,15,379
Sostiene Pereira,Antonio Tabucchi,4.14,1999,1,8,Anagrama,313,182
Night,Elie Wiesel,4.33,2006,16,1,Hill and Wang,124,120
The Testament,Elie Wiesel,3.97,1981,1,1,Summit Books,2,346
"The Tangle Box (Magic Kingdom of Landover, #4)",Terry Brooks,3.86,1995,1,3,Del Rey Books,7,356
Homecoming,Belva Plain,3.95,1997,6,10,Random House Audio,1,0
The Jester,James Patterson,3.8,2004,1,2,Grand Central Publishing,64,496
In Our Time,Ernest Hemingway,3.79,1971,1,8,Collier Books,1,156
The Joy Luck Club,Amy Tan,3.93,1990,30,4,Ivy Books,376,332
Island of the Blue Dolphins,Scott O'Dell,3.83,1996,31,12,Laurel Leaf Library,87,189
Le Grand Meaulnes,Alain-Fournier,3.75,1989,1,10,French & European Pubns,9,237
I'm with the Band: Confessions of a Groupie,Pamela Des Barres,3.68,2005,1,10,Helter Skelter Publishing,8,304
"Tarzan of the Apes (Tarzan, #1)",Edgar Rice Burroughs,3.9,1990,6,3,New American Library,45,288
"All That Remains (Kay Scarpetta, #3)",Patricia Cornwell,4.06,1993,1,7,Avon,45,406
Closer,Dennis Cooper,3.5700000000000003,1994,18,1,Grove Press,50,131
A Model World and Other Stories,Michael Chabon,3.55,1992,1,3,Harper Perennial,7,208
Naked Lunch,William S. Burroughs,3.47,1992,1,2,Grove Weidenfield,186,255
A Child's Christmas in Wales,Dylan Thomas,4.15,1985,1,9,Holiday House,365,48
Sideways Stories from Wayside School,Louis Sachar,4.15,1985,6,5,Avon Books,185,124
Special Topics in Calamity Physics,Marisha Pessl,3.71,2007,3,5,Penguin,87,514
Baudolino,Umberto Eco,3.75,2002,7,11,Secker & Warburg,6,522
Wayside School Is Falling Down (Wayside School #2),Louis Sachar,4.17,2019,26,3,Avon Camelot,60,224
Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,Chuck Klosterman,3.85,2007,1,3,Faber  Faber,11,384
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.53,1975,1,1,Methuen Publications,4,440
Picasso at the Lapin Agile and Other Plays,Steve Martin,3.99,1996,9,8,"Grove/Atlantic, Inc. - Grove/Atlantic, Inc. - Grove Press",9,160
Saving Francesca,Melina Marchetta,3.97,2004,1,4,Bolinda Publishing,14,256
"Lords of the North (The Saxon Stories, #3)",Bernard Cornwell,4.34,2007,23,1,HarperLuxe,3,512
Sleeping Beauty,Judith Michael,3.67,1994,1,8,Pocket Books,27,640
Carter Beats the Devil,Glen David Gold,4.09,2001,5,9,Hyperion,35,496
Lost at Sea,Bryan Lee O'Malley,3.73,2012,24,7,Oni Press,1031,160
Illuminations,Arthur Rimbaud,4.37,1957,17,1,New Directions,189,182
Angels Fall,Nora Roberts,4.0,2007,1,1,Piatkus Books,26,480
This Rough Magic,Heather Graham Pozzessere,3.7,1988,1,9,Silhouette,1,251
Evidence of Things Unseen,Marianne Wiggins,4.08,2003,3,6,Simon & Schuster,10,383
"The Funeral Makers (Mattagash, #1)",Cathie Pelletier,3.74,1997,6,5,Scribner,24,256
The Almost Moon,Alice Sebold,2.69,2007,16,10,Hachette Audio,67,8
The Abortionist's Daughter,Elisabeth Hyde,3.21,2007,12,6,Vintage,386,304
Les Misérables,Victor Hugo,4.17,1992,5,9,Modern Library,4,1222
Lost,Joy Fielding,3.29,2005,1,1,Pocket Books,5,448
Reunion,Kara Dalkey,3.95,2002,28,4,Avon Books,31,233
Paris,Elaine Mokhtefi,3.62,2002,1,2,Hippocrene Books,2,182
"The Voyage of the Dawn Treader (Chronicles of Narnia, #5)",C.S. Lewis,4.09,2000,1,9,Turtleback Books,1,248
Vinegar Hill,A. Manette Ansay,3.39,2007,26,7,Headline Review,2,272
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,3.53,1995,29,9,ReganBooks,140,406
Cyrano de Bergerac,Edmond Rostand,4.07,1950,1,11,Bantam Classics,7,446
Delta of Venus,Anaïs Nin,3.62,1990,15,1,Pocket,32,302
"The Fifth Elephant (Discworld, #24)",Terry Pratchett,4.27,2001,3,4,HarperCollins Publishers Inc t/a HarperTorch,120,370
